vertical,advertiser_country,cost_per_goal,advertising_platform_id,start_year
Cars & Motorbikes,BE,0.71,bing,2021
Home Improvement & Maintenance,BE,1.47,adwords,2023
Home Improvement & Maintenance,BE,0.29,adwords,2022
Health,BE,1.3,bing,2022
Home Improvement & Maintenance,BE,1.65,bing,2021
Home Improvement & Maintenance,BE,0.64,adwords,2021
Home Improvement & Maintenance,BE,0.66,facebook,2022
Home Improvement & Maintenance,BE,0.81,bing,2021
Restaurant,BE,0.48,bing,2023
Electronics,BE,0.61,bing,2021
Animals & Pets,BE,0.43,adwords,2022
Electronics,BE,1.23,bing,2021
Animals & Pets,BE,0.24,bing,2021
Health,BE,0.62,bing,2021
Industrial,BE,0.98,bing,2020
Home Improvement & Maintenance,BE,3.0,bing,2022
Animals & Pets,BE,0.37,adwords,2023
Interior Design & Furniture,BE,0.46,adwords,2021
Food & Drinks,BE,0.66,adwords,2021
Electronics,BE,0.42,adwords,2021
Home Improvement & Maintenance,BE,2.13,adwords,2024
Home Improvement & Maintenance,BE,1.81,adwords,2023
Home Improvement & Maintenance,BE,1.23,adwords,2021
Business,BE,1.28,bing,2021
Electronics,BE,0.98,bing,2021
Home Improvement & Maintenance,BE,0.91,bing,2021
Environment,BE,1.15,adwords,2021
Electronics,BE,0.78,facebook,2021
Beauty,BE,0.8,bing,2023
Accounting,BE,0.69,adwords,2021
Interior Design & Furniture,BE,0.84,adwords,2022
Electronics,BE,0.52,bing,2022
Restaurant,BE,0.73,facebook,2021
Interior Design & Furniture,BE,0.62,adwords,2022
Home Improvement & Maintenance,BE,0.76,facebook,2022
Home Improvement & Maintenance,BE,2.55,bing,2023
Home Improvement & Maintenance,BE,0.8,bing,2021
Home Improvement & Maintenance,BE,0.73,bing,2021
Environment,BE,0.66,bing,2021
Home Improvement & Maintenance,BE,0.8,adwords,2023
Home Improvement & Maintenance,BE,1.0,bing,2023
Cars & Motorbikes,BE,0.46,bing,2021
Funeral Services,BE,0.59,bing,2022
Industrial,BE,0.8,bing,2021
Funeral Services,BE,0.29,adwords,2021
Cars & Motorbikes,BE,0.64,facebook,2021
Accounting,BE,0.52,adwords,2021
Transport & Logistics,BE,0.64,facebook,2021
Home Improvement & Maintenance,BE,2.38,facebook,2023
Business,BE,1.2,adwords,2023
Beauty,BE,0.8,bing,2021
Home Improvement & Maintenance,BE,0.8,bing,2021
Beauty,BE,0.16,bing,2022
Health,BE,0.76,bing,2021
Home Improvement & Maintenance,BE,0.66,bing,2023
Home Improvement & Maintenance,BE,1.37,bing,2021
Home Improvement & Maintenance,BE,0.92,facebook,2021
Flowers & Plants,BE,0.76,bing,2021
Flowers & Plants,BE,0.58,bing,2022
Fashion & Clothing,BE,1.98,facebook,2021
Home Improvement & Maintenance,BE,0.25,bing,2021
Home Improvement & Maintenance,BE,0.69,bing,2021
Health,BE,0.51,bing,2021
