campaign_id,vertical,partner_name,internal_state_id,ads_aggregate_state,goal_id,state_id,advertiser_country,max_goals,cost_per_goal,input_amount,advertising_platform_id
363,Interior Design & Furniture,Partner B,enabled,null,clicks,enabled,ES,152,0.41935,63.7412,#N/A
364,Funeral Services,Partner B,enabled,null,clicks,enabled,ES,151,0.42296,63.86696,#N/A
365,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,150,0.1,15,#N/A
366,Finance,Partner B,enabled,null,clicks,paused,ES,150,0.25,37.5,#N/A
367,Industrial,Partner B,enabled,null,clicks,paused,ES,149,0.18,26.82,#N/A
368,Flowers & Plants,Partner B,enabled,null,clicks,enabled,ES,149,0.64515,96.12735,#N/A
369,Industrial,Partner B,enabled,null,clicks,paused,ES,148,0.12,17.76,#N/A
370,Industrial,Partner B,enabled,null,clicks,enabled,ES,147,0.4334,63.7098,#N/A
371,Transport & Logistics,Partner B,enabled,null,clicks,enabled,ES,147,0.43524,63.98028,#N/A
372,Beauty,Partner B,enabled,null,clicks,enabled,ES,146,0.43681,63.77426,#N/A
373,Animals & Pets,Partner B,enabled,null,clicks,paused,ES,146,0.2,29.2,#N/A
374,Health,Partner B,enabled,null,clicks,enabled,ES,146,0.56,81.76,#N/A
375,Animals & Pets,Partner B,enabled,null,clicks,paused,ES,145,0.24,34.8,#N/A
376,Cars & Motorbikes,Partner B,enabled,null,clicks,enabled,ES,144,0.44367,63.88848,#N/A
